token_id	speaker	tu_id	span	form	type	variation	jefferson_feats	align	prolongations	pace	guesses	overlaps
0-0	PKP125	0	okay	okay	linguistic	none	_	Begin=1.17	_	_	_	_
0-1	PKP125	0	dai	dai	linguistic	none	_	End=1.847	_	_	_	_
1-0	PKP125	1	che	che	linguistic	none	_	Begin=3.591	_	_	_	_
1-1	PKP125	1	ti	ti	linguistic	none	_	_	_	_	_	_
1-2	PKP125	1	serve	serve	linguistic	none	_	_	_	_	_	_
1-3	PKP125	1	il	il	linguistic	none	_	_	_	_	_	_
1-4	PKP125	1	coltello?	coltello	linguistic	none	Intonation=Rising	End=4.709	_	_	_	_
2-0	PKP131	2	sì	sì	linguistic	none	_	Begin=5.73|End=6.068	_	_	_	_
3-0	PKP131	3	(to)	to	linguistic	none	_	Begin=9.05|End=9.403	_	_	0-2(0)	_
4-0	PKP125	4	°ecco	ecco	linguistic	none	Volume=Low	Begin=13.522	_	_	_	_
4-1	PKP125	4	qua°	qua	linguistic	none	Volume=Low	End=14.004	_	_	_	_
5-0	PKP125	5	ma	ma	linguistic	none	_	Begin=15.206	_	_	_	_
5-1	PKP125	5	cosa	cosa	linguistic	none	_	_	_	_	_	_
5-2	PKP125	5	vuoi?	vuoi	linguistic	none	Intonation=Rising	End=15.857	_	_	_	_
6-0	PKP125	6	sai	sai	linguistic	none	_	Begin=16.236	_	_	_	_
6-1	PKP125	6	questo	questo	linguistic	none	_	_	_	_	_	_
6-2	PKP125	6	com'	com'	linguistic	none	SpaceAfter=No	_	_	_	_	_
6-3	PKP125	6	è	è	linguistic	none	_	_	_	_	_	_
6-4	PKP125	6	buono	buono	linguistic	none	_	_	_	_	_	_
6-5	PKP125	6	squagliato	squagliato	linguistic	none	_	_	_	_	_	_
6-6	PKP125	6	sulla::	sulla	linguistic	none	_	End=18.718	4x2	_	_	_
7-0	PKP125	7	sulla	sulla	linguistic	none	_	Begin=18.77	_	_	_	_
7-1	PKP125	7	cosa	cosa	linguistic	none	_	End=19.33	_	_	_	_
8-0	PKP125	8	te	te	linguistic	none	_	Begin=19.39	_	_	_	_
8-1	PKP125	8	lo	lo	linguistic	none	_	_	_	_	_	_
8-2	PKP125	8	sei	sei	linguistic	none	_	_	_	_	_	_
8-3	PKP125	8	mai	mai	linguistic	none	_	_	_	_	_	_
8-4	PKP125	8	mangiato?	mangiato	linguistic	none	Intonation=Rising	End=20.344	_	_	_	_
9-0	PKP131	9	sulla:?	sulla	linguistic	none	Intonation=Rising	Begin=20.364|End=20.802	4x1	_	_	_
10-0	PKP125	10	sulla::	sulla	linguistic	none	_	Begin=21.359	4x2	_	_	_
10-1	PKP125	10	(.)	[PAUSE]	shortpause	none	_	_	_	_	_	_
10-2	PKP125	10	sulla	sulla	linguistic	none	_	_	_	_	_	_
10-3	PKP125	10	padella:	padella	linguistic	none	_	End=22.896	6x1	_	_	_
11-0	PKP125	11	il	il	linguistic	none	_	Begin=23.3	_	_	_	_
11-1	PKP125	11	caciocavallo	caciocavallo	linguistic	none	_	_	_	_	_	_
11-2	PKP125	11	squagliato	squagliato	linguistic	none	_	_	_	_	_	_
11-3	PKP125	11	te	te	linguistic	none	_	_	_	_	_	_
11-4	PKP125	11	lo	lo	linguistic	none	_	_	_	_	_	_
11-5	PKP125	11	sei	sei	linguistic	none	_	_	_	_	_	_
11-6	PKP125	11	mai	mai	linguistic	none	_	_	_	_	_	_
11-7	PKP125	11	mangia[to]?	mangiato	linguistic	none	Intonation=Rising	End=25.379	_	_	_	6-8(0)
12-0	PKP131	12	[m]:h	mh	linguistic	none	_	Begin=25.177|End=25.689	0x1	_	_	0-1(0)
13-0	PKP125	13	marò	marò	linguistic	none	_	Begin=26.492|End=26.93	_	_	_	_
