token_id	speaker	tu_id	span	form	type	variation	jefferson_feats	align	prolongations	pace	guesses	overlaps
0-0	BOR030	0	okay	okay	linguistic	none	_	Begin=0.314|End=0.689	_	_	_	_
1-0	BOR030	1	quindi	quindi	linguistic	none	_	Begin=0.744	_	_	_	_
1-1	BOR030	1	inizierei	inizierei	linguistic	none	_	_	_	_	_	_
1-2	BOR030	1	chiedendoti	chiedendoti	linguistic	none	_	_	_	_	_	_
1-3	BOR030	1	in	in	linguistic	none	_	_	_	_	_	_
1-4	BOR030	1	che	che	linguistic	none	_	_	_	_	_	_
1-5	BOR030	1	zona	zona	linguistic	none	_	_	_	_	_	_
1-6	BOR030	1	di	di	linguistic	none	_	_	_	_	_	_
1-7	BOR030	1	bologna	bologna	linguistic	none	_	_	_	_	_	_
1-8	BOR030	1	vivi	vivi	linguistic	none	_	End=3.407	_	_	_	_
2-0	BOI091	2	attualmente	attualmente	linguistic	none	_	Begin=3.8	_	_	_	_
2-1	BOI091	2	a	a	linguistic	none	_	_	_	_	_	_
2-2	BOI091	2	sala	sala	linguistic	none	_	_	_	_	_	_
2-3	BOI091	2	bolognese	bolognese	linguistic	none	_	_	_	_	_	_
2-4	BOI091	2	che	che	linguistic	none	_	_	_	_	_	_
2-5	BOI091	2	è	è	linguistic	none	_	_	_	_	_	_
2-6	BOI091	2	un	un	linguistic	none	_	_	_	_	_	_
2-7	BOI091	2	paesino	paesino	linguistic	none	_	_	_	_	_	_
2-8	BOI091	2	di	di	linguistic	none	_	_	_	_	_	_
2-9	BOI091	2	ottomila	ottomila	linguistic	none	_	_	_	_	_	_
2-10	BOI091	2	persone	persone	linguistic	none	_	_	_	_	_	_
2-11	BOI091	2	vicino	vicino	linguistic	none	_	_	_	_	_	_
2-12	BOI091	2	a	a	linguistic	none	_	_	_	_	_	_
2-13	BOI091	2	bologna	bologna	linguistic	none	_	End=8.295	_	_	_	_
3-0	BOI091	3	prima	prima	linguistic	none	_	Begin=9.292	_	_	_	_
3-1	BOI091	3	e:h	eh	linguistic	none	_	_	0x1	_	_	_
3-2	BOI091	3	vivevo	vivevo	linguistic	none	_	_	_	_	_	_
3-3	BOI091	3	invece:	invece	linguistic	none	_	_	5x1	_	_	_
3-4	BOI091	3	in	in	linguistic	none	_	_	_	_	_	_
3-5	BOI091	3	@nomeluogo	@nomeluogo	linguistic	none	_	End=12.134	_	_	_	_
4-0	BOI091	4	che	che	linguistic	none	_	Begin=12.425	_	_	_	_
4-1	BOI091	4	è	è	linguistic	none	_	_	_	_	_	_
4-2	BOI091	4	un:	un	linguistic	none	_	End=13.503	1x1	_	_	_
5-0	BOI091	5	un	un	linguistic	none	_	Begin=14.542	_	_	_	_
5-1	BOI091	5	quartie~	quartie~	linguistic	none	Interrupted=Yes	_	_	_	_	_
5-2	BOI091	5	>mh	mh	linguistic	none	_	_	_	Fast=0-2	_	_
5-3	BOI091	5	mh	mh	linguistic	none	_	_	_	Fast=0-2	_	_
5-4	BOI091	5	eh<	eh	linguistic	none	_	_	_	Fast=0-2	_	_
5-5	BOI091	5	fa	fa	linguistic	none	_	_	_	_	_	_
5-6	BOI091	5	parte	parte	linguistic	none	_	_	_	_	_	_
5-7	BOI091	5	del	del	linguistic	none	_	_	_	_	_	_
5-8	BOI091	5	quartiere	quartiere	linguistic	none	_	_	_	_	_	_
5-9	BOI091	5	savena	savena	linguistic	none	_	_	_	_	_	_
5-10	BOI091	5	vicino	vicino	linguistic	none	_	_	_	_	_	_
5-11	BOI091	5	a	a	linguistic	none	_	_	_	_	_	_
